"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"4TS-aNxEDrj8xSSuBDZYZQ/5MiUaPZi0ip2cQkjAck0gw","human","Medium",5,0,277,55.4,0.649819494584837,93,174,10,0,0,0,0,0,0,9,84
"4uhFxZJfJLCuiipssSurmg/7qmsg8qcV3iYQe_qHxTkcg","human","Small",2,0,85,42.5,0.38235294117647,85,0,0,0,0,0,0,0,0,NA,NA
"4UoKJb78-7s5AP5kxYsTWw/KMTZui17QbMsWE1Xh1v6wQ","human","Small",2,0,140,70,0.492857142857142,140,0,0,0,0,0,0,0,0,NA,NA
"4Y4ltFXA0vYergBfP1bDVw/wfwWmDIImW4E1WB7u2A5VQ","human","Large",8,0,301,37.625,0.481312292358804,239,48,14,0,0,0,0,0,0,NA,NA
"4YoH8row044yJjPIqWJw9Q/NSXj3i61X71lV0StTN71Ww","human-bot","Small",2,2,114,57,0.491228070175438,114,0,0,0,37,0,37,0,0,0,14
"4ZSCfY9gR5Sa8mT-mRwIZg/H-8VmgmCOh6PcBIBvyqJ6Q","human","Small",3,0,51,17,0.183006535947712,51,0,0,0,0,0,0,0,0,NA,NA
"5-0-eOTo-hJG_S_R5C1Zhw/1nqOwifzJUX_0uGy2pSIRQ","human-bot","Small",2,1,46,23,0.369565217391304,32,14,0,0,10,0,10,0,0,4,16
"5-0-eOTo-hJG_S_R5C1Zhw/cAnToiI7JTeyC1TKJNIGrQ","human","Small",2,0,30,15,0.466666666666666,30,0,0,0,0,0,0,0,0,NA,NA
"572IwNWvcAWEW0XmL9kzxg/dsdz8N9WSpmtzc0q9veAhQ","human-bot","Large",9,1,3774,419.333333333333,0.504151210033563,2733,958,5,78,575,0,575,0,0,27,1210
"5Is-_ie16OEGmW1arZm8qg/8UeSk2P76pTG7pPLtxsHTQ","human-bot","Large",17,4,7412,436,0.439620964413828,4182,1257,1917,56,358,5,202,151,0,2,495
